Scenario,Method,N,Triple-clean,Partially contaminated,Off-target
1. Otsu (all cells) - used for the figure above,SIGMA+,2509,66.79952172180151,30.928656835392587,2.2718214428058987
1. Otsu (all cells) - used for the figure above,CellID+,20851,1.7744952280466164,44.904321135676945,53.32118363627644
1. Otsu (all cells) - used for the figure above,scGate+,138307,40.243805447302016,40.35515194458704,19.40104260811094
1. Otsu (all cells) - used for the figure above,UCell+,3298,21.952698605215282,50.54578532443905,27.501516070345666
1. Otsu (all cells) - used for the figure above,SingleR+,22782,53.7968571679396,43.95575454306031,2.247388289000088
1. Otsu (all cells) - used for the figure above,ScType+,3298,8.035172832019406,40.63068526379624,51.33414190418436
2. Otsu (score>0 only),SIGMA+,2509,67.35751295336787,30.49023515344759,2.152251893184536
2. Otsu (score>0 only),CellID+,20851,2.7864371013380653,29.76356050069541,67.45000239796653
2. Otsu (score>0 only),scGate+,138307,38.35525316867548,39.922057451900486,21.722689379424036
2. Otsu (score>0 only),UCell+,3298,25.37901758641601,42.81382656155245,31.807155852031535
2. Otsu (score>0 only),SingleR+,22782,52.40101834781845,44.442981301027125,3.1560003511544203
2. Otsu (score>0 only),ScType+,3298,9.248029108550636,25.136446331109763,65.6155245603396
3. GMM (score>0 only) - best-specified fit,SIGMA+,2509,63.053009166998805,33.59904344360303,3.3479473893981666
3. GMM (score>0 only) - best-specified fit,CellID+,20851,1.0982686681693923,35.76327274471248,63.13845858711812
3. GMM (score>0 only) - best-specified fit,scGate+,138307,36.44790213076706,40.07750873057763,23.47458913865531
3. GMM (score>0 only) - best-specified fit,UCell+,3298,18.64766525166768,48.05942995755003,33.292904790782295
3. GMM (score>0 only) - best-specified fit,SingleR+,22782,49.139671670617155,47.19076463874989,3.669563690632956
3. GMM (score>0 only) - best-specified fit,ScType+,3298,6.337174044875682,32.14069132807762,61.5221346270467
"4. GMM (all cells) - stress test, deliberately mis-specified",SIGMA+,2509,14.188919888401754,76.16580310880829,9.645277002789957
"4. GMM (all cells) - stress test, deliberately mis-specified",CellID+,20851,0.06234712963407031,56.966092753345166,42.971560117020765
"4. GMM (all cells) - stress test, deliberately mis-specified",scGate+,138307,12.134599116458313,62.87968071030389,24.985720173237798
"4. GMM (all cells) - stress test, deliberately mis-specified",UCell+,3298,5.609460278956943,58.30806549423893,36.08247422680412
"4. GMM (all cells) - stress test, deliberately mis-specified",SingleR+,22782,15.226933544025986,74.94513212185058,9.82793433412343
"4. GMM (all cells) - stress test, deliberately mis-specified",ScType+,3298,1.485748938750758,53.06246209824136,45.451788963007886
